"","pos","Depth"
"1",265,6244.78723404255
"2",266,7506.52380952381
"3",267,7568.01058201058
"4",268,7643.60317460317
"5",269,7687.62962962963
"6",270,7725.37894736842
"7",271,7793.65789473684
"8",272,7827.8947368421
"9",273,7893.17894736842
"10",274,7901.55789473684
"11",275,7979.05789473684
"12",276,8025.33157894737
"13",277,8064.81578947368
"14",278,8095.86910994764
"15",279,8120.49214659686
"16",280,8214.41884816754
"17",281,8375.85863874346
"18",282,8414.32291666667
"19",283,8504.14507772021
"20",284,8561.0621761658
"21",285,8892.40932642487
"22",286,12039.5360824742
"23",287,12240.7216494845
"24",288,12346.4072164948
"25",289,12402
"26",290,12386.7846153846
"27",291,12519.7641025641
"28",292,12519.8205128205
"29",293,12140.6769230769
"30",294,10337.958974359
"31",295,9015.29230769231
"32",296,8484.71282051282
"33",297,8332.60512820513
"34",298,8430.30256410256
"35",299,8408.94871794872
"36",300,8383.10256410256
"37",301,8374.12820512821
"38",302,8276.43076923077
"39",303,8200.50256410256
"40",304,8192.25128205128
"41",305,8285.97948717949
"42",306,8328.19487179487
"43",307,8291.78974358974
"44",308,8305.11794871795
"45",309,8285.22051282051
"46",310,8228.49230769231
"47",311,8175.5282051282
"48",312,8061.51282051282
"49",313,8038.94871794872
"50",314,7877.12307692308
"51",315,7838.89230769231
"52",316,6477.88205128205
"53",317,4668.45641025641
"54",318,4642.92820512821
"55",319,4571.41025641026
"56",320,4534.98461538462
"57",321,4091.07692307692
"58",322,3906.94358974359
"59",323,3879.87179487179
"60",324,3466
"61",325,2551.88717948718
"62",326,2568.91794871795
"63",327,2603.54871794872
"64",328,2662.29743589744
"65",329,2632.53333333333
"66",330,2908.24615384615
"67",331,2928.99487179487
"68",332,2958.85641025641
"69",333,3694.79487179487
"70",334,3691.05641025641
"71",335,3711.09230769231
"72",336,3734.39487179487
"73",337,4502.65641025641
"74",338,4572.65641025641
"75",339,4644.49743589744
"76",340,5087.97435897436
"77",341,5166.09230769231
"78",342,5211.02564102564
"79",343,5262.28717948718
"80",344,5267.02051282051
"81",345,5430.77435897436
"82",346,5462.47692307692
"83",347,5488.64615384615
"84",348,5500.34358974359
"85",349,5522.55897435897
"86",350,5527.34871794872
"87",351,5558.87692307692
"88",352,5616.57435897436
"89",353,5664.14358974359
"90",354,5707.65641025641
"91",355,5855.19487179487
"92",356,5894.54871794872
"93",357,6027.15384615385
"94",358,6211.73846153846
"95",359,6238.96923076923
"96",360,6272.14871794872
"97",361,6267.57948717949
"98",362,6275.20512820513
"99",363,6293.02564102564
"100",364,6294.47692307692
"101",365,6367.61538461538
"102",366,6390.37435897436
"103",367,6401.41025641026
"104",368,6358.00512820513
"105",369,6351.59487179487
"106",370,6386.14358974359
"107",371,6360.86666666667
"108",372,6364.24102564103
"109",373,6366.27179487179
"110",374,6330.4358974359
"111",375,6326.72307692308
"112",376,6307.66666666667
"113",377,6314.94871794872
"114",378,6283.83076923077
"115",379,6299.61025641026
"116",380,6314.11282051282
"117",381,6087.15384615385
"118",382,6186.06153846154
"119",383,6194.09230769231
"120",384,6170.81025641026
"121",385,6166.55384615385
"122",386,6104.88717948718
"123",387,6102.35384615385
"124",388,6090.49230769231
"125",389,6195.49743589744
"126",390,6187.08717948718
"127",391,6126.89743589744
"128",392,6093.24102564103
"129",393,6085.45128205128
"130",394,6088.89230769231
"131",395,6124.08205128205
"132",396,6142.37948717949
"133",397,6140.06153846154
"134",398,6115.02564102564
"135",399,6117.5282051282
"136",400,5989.76923076923
"137",401,6037.90769230769
"138",402,6013.33333333333
"139",403,5976.37435897436
"140",404,5995.40512820513
"141",405,5991.11282051282
"142",406,5999.90256410256
"143",407,6007.12820512821
"144",408,6063.87692307692
"145",409,6030.44102564103
"146",410,6180.89230769231
"147",411,6142.9641025641
"148",412,6116.08205128205
"149",413,6129.00512820513
"150",414,6113.58461538462
"151",415,6103.0358974359
"152",416,6105.35384615385
"153",417,6053.28717948718
"154",418,6008.37435897436
"155",419,5900.94871794872
"156",420,5920.14358974359
"157",421,5934.24615384615
"158",422,5995.22051282051
"159",423,6020.01025641026
"160",424,6025.50769230769
"161",425,6017.53846153846
"162",426,6048.05128205128
"163",427,6033.22564102564
"164",428,5990.37435897436
"165",429,6019.31794871795
"166",430,5973.30769230769
"167",431,6000.88205128205
"168",432,5991.82051282051
"169",433,5993.65128205128
"170",434,6012.05128205128
"171",435,6027.74871794872
"172",436,6032.78974358974
"173",437,5955.86153846154
"174",438,5999.54871794872
"175",439,6004.73846153846
"176",440,6014.4
"177",441,6076.37435897436
"178",442,6158.95897435897
"179",443,6148.00512820513
"180",444,6191.79487179487
"181",445,6073.48717948718
"182",446,6201.03076923077
"183",447,6143.4
"184",448,6154.96923076923
"185",449,6094.75384615385
"186",450,6116.37948717949
"187",451,6115.71794871795
"188",452,6069.72307692308
"189",453,6064.21025641026
"190",454,6054.32307692308
"191",455,6040.03076923077
"192",456,6031.91282051282
"193",457,6031.39487179487
"194",458,5999.05128205128
"195",459,5940.38461538462
"196",460,5739.58461538462
"197",461,5716.27692307692
"198",462,5714.86153846154
"199",463,5714.18461538462
"200",464,5688.10769230769
"201",465,5687.74871794872
"202",466,5681.88205128205
"203",467,5578.34871794872
"204",468,5750.50256410256
"205",469,5700.62051282051
"206",470,5686.51282051282
"207",471,5444.61025641026
"208",472,5431.34358974359
"209",473,5415.80512820513
"210",474,5443.4717948718
"211",475,5433.52307692308
"212",476,5341.06666666667
"213",477,5348.6358974359
"214",478,5368.21025641026
"215",479,5399.27692307692
"216",480,5600.84102564103
"217",481,5582.30256410256
"218",482,5567.22051282051
"219",483,5539.30256410256
"220",484,5520.93333333333
"221",485,5514.13333333333
"222",486,5504.09743589744
"223",487,5525.65641025641
"224",488,5518.35897435897
"225",489,5501.18461538462
"226",490,5500.44615384615
"227",491,5510.72307692308
"228",492,5389.01538461538
"229",493,5406.58974358974
"230",494,5413.68205128205
"231",495,5336.80512820513
"232",496,5326.61538461538
"233",497,5317.65641025641
"234",498,5292.54358974359
"235",499,5285.73846153846
"236",500,5261.81025641026
"237",501,5269.62564102564
"238",502,5206.28717948718
"239",503,5171.45641025641
"240",504,5138.06666666667
"241",505,5137.89743589744
"242",506,5144.51794871795
"243",507,5102.23076923077
"244",508,5141.4358974359
"245",509,5139.12820512821
"246",510,5131.17948717949
"247",511,5130.04615384615
"248",512,5027.17948717949
"249",513,5049.54871794872
"250",514,5113.80512820513
"251",515,5100.31794871795
"252",516,5134.46153846154
"253",517,5141.30769230769
"254",518,5122.50769230769
"255",519,5131.75384615385
"256",520,5122.41025641026
"257",521,4984.1641025641
"258",522,5034.17435897436
"259",523,4998.41025641026
"260",524,4998.04102564103
"261",525,5032.25641025641
"262",526,5030.01538461538
"263",527,5005.9641025641
"264",528,5000.81538461538
"265",529,4994.63076923077
"266",530,5028.2358974359
"267",531,5122.08205128205
"268",532,5114.15384615385
"269",533,5079.38461538462
"270",534,4835.91282051282
"271",535,4865.07692307692
"272",536,4871.61025641026
"273",537,4877.21538461538
"274",538,4872.12820512821
"275",539,4834.86153846154
"276",540,4800.66153846154
"277",541,4778.56923076923
"278",542,4739.69743589744
"279",543,4714.74871794872
"280",544,4696.66666666667
"281",545,4719.65128205128
"282",546,4738.35897435897
"283",547,4738.83076923077
"284",548,4712.20512820513
"285",549,4701.30769230769
"286",550,4680.55384615385
"287",551,4669.24102564103
"288",552,4662.05641025641
"289",553,4666.90256410256
"290",554,4646.23076923077
"291",555,4637.3641025641
"292",556,4602.56923076923
"293",557,4608.7641025641
"294",558,4612.39487179487
"295",559,4605.91794871795
"296",560,4595.00512820513
"297",561,4540.95897435897
"298",562,4482.48205128205
"299",563,4483.37948717949
"300",564,4469.22051282051
"301",565,4336.75897435897
"302",566,4300.95384615385
"303",567,4322.57948717949
"304",568,4358.11794871795
"305",569,4349.22564102564
"306",570,4348.03076923077
"307",571,4331.64102564103
"308",572,4318.82564102564
"309",573,4198.81025641026
"310",574,4254.68205128205
"311",575,4200.73846153846
"312",576,4175.33333333333
"313",577,4167.8
"314",578,4169.87692307692
"315",579,4151.78461538462
"316",580,4139.31794871795
"317",581,4131.43076923077
"318",582,4068.94871794872
"319",583,4008.81538461538
"320",584,3971.63076923077
"321",585,3960.48717948718
"322",586,3957.06666666667
"323",587,3929.95384615385
"324",588,3893.4358974359
"325",589,3933.93846153846
"326",590,3898.2717948718
"327",591,3852.65641025641
"328",592,3854.94871794872
"329",593,3861.95897435897
"330",594,3876.40512820513
"331",595,3856.29743589744
"332",596,3908.18974358974
"333",597,3902.29230769231
"334",598,3599.63076923077
"335",599,3811.52307692308
"336",600,3677.92307692308
"337",601,3731.05128205128
"338",602,3637.10256410256
"339",603,3711.96923076923
"340",604,3686.45128205128
"341",605,3685.51794871795
"342",606,3648.98974358974
"343",607,3621.04102564103
"344",608,3575.68205128205
"345",609,3573.38974358974
"346",610,3550.74358974359
"347",612,3555.52820512821
