"","freq","Type","Mutation"
"1",0.00192449306123098,"Syn","Tvs"
"2",0.00158899072514256,"Syn","Tvs"
"3",0.00102290033288707,"Syn","Tvs"
"4",0.00155416550186104,"Syn","Tvs"
"5",0.000735629463130944,"Syn","Tvs"
"6",0.000995081364288918,"Syn","Tvs"
"7",0.00091195975594588,"Syn","Tvs"
"8",0.000648894964204693,"Syn","Tvs"
"9",0.00133695473939803,"Syn","Tvs"
"10",0.00158944000704856,"Syn","Tvs"
"11",0.0022712644335548,"Syn","Tvs"
"12",0.00147859582087418,"Syn","Tvs"
"13",0.000783665638089714,"Syn","Tvs"
"14",0.00106480435412221,"Syn","Tvs"
"15",0.000940334156425862,"Syn","Tvs"
"16",0.00115532542753845,"Syn","Tvs"
"17",0.00111117946861389,"Syn","Tvs"
"18",0.00103414577123503,"Syn","Tvs"
"19",0.000723133551251433,"Syn","Tvs"
"20",0.000429846474326885,"Syn","Tvs"
"21",0.000957408185134479,"Syn","Tvs"
"22",0.000716511248198333,"Syn","Tvs"
"23",0.000972794860229609,"Syn","Tvs"
"24",0.000492378096298885,"Syn","Tvs"
"25",0.000648593456523699,"Syn","Tvs"
"26",0.00152405752578448,"Syn","Tvs"
"27",0.00135903781995877,"Syn","Tvs"
"28",0.000789684695463899,"Syn","Tvs"
"29",0.00132424486544707,"Syn","Tvs"
"30",0.000180433054706103,"Syn","Tvs"
"31",0.000587259741587891,"Syn","Tvs"
"32",0.000587478692468519,"Syn","Tvs"
"33",0.00438048366630989,"Syn","Tvs"
"34",0.000897909688296249,"Syn","Tvs"
"35",0.00122649189561378,"Syn","Tvs"
"36",0.00106982115829183,"Syn","Tvs"
"37",0.00170417569235962,"Syn","Tvs"
"38",0.00245178579973002,"Syn","Tvs"
"39",0.000963558559245441,"Syn","Tvs"
"40",0.000764920922698659,"Syn","Tvs"
"41",0.00182661750962985,"Syn","Tvs"
"42",0.000802841132053661,"Syn","Tvs"
"43",0.0011587721319332,"Syn","Tvs"
"44",0.0030490053835873,"Syn","Tvs"
"45",0.00197055421472813,"Syn","Tvs"
"46",0.000558332801419295,"Syn","Tvs"
"47",0.00169496318373447,"Syn","Tvs"
"48",0.00160404754393424,"Syn","Tvs"
"49",0.00161929562565111,"Syn","Tvs"
"50",0.000994784271676539,"Syn","Tvs"
"51",0.000686102828214598,"Syn","Tvs"
"52",0.00424630560651652,"Syn","Tvs"
"53",0.00204558436737674,"Syn","Tvs"
"54",0.00204066077774046,"Syn","Tvs"
"55",0.000301344815624615,"Syn","Tvs"
"56",0.00101296686726121,"Syn","Tvs"
"57",0.00144069298508322,"Syn","Tvs"
"58",0.00140406462472754,"Syn","Tvs"
"59",0.000496553469858975,"Syn","Tvs"
"60",0.00237928197146862,"Syn","Tvs"
"61",0.000614947989106908,"Syn","Tvs"
"62",0.000685811968521359,"Syn","Tvs"
"63",0.00244949796218137,"Syn","Tvs"
"64",0.00209422242965588,"Syn","Tvs"
"65",0.00243943632708655,"Syn","Tvs"
"66",0.00147701099853009,"Syn","Tvs"
"67",0.000413777672456548,"Syn","Tvs"
"68",0.000949931134132265,"Syn","Tvs"
"69",0.000906187788448313,"Syn","Tvs"
"70",0.000675065544548929,"Syn","Tvs"
"71",0.000370498780285858,"Syn","Tvs"
"72",0.00230162641138604,"Syn","Tvs"
"73",0.00118793649844956,"Syn","Tvs"
"74",0.000938185729126732,"Syn","Tvs"
"75",0.000336770705127046,"Syn","Tvs"
"76",0.000597001023148288,"Syn","Tvs"
"77",0.00142850717963782,"Syn","Tvs"
"78",0.00113947831037502,"Syn","Tvs"
"79",0.000421907444968922,"Syn","Tvs"
"80",0.000645369216225903,"Syn","Tvs"
"81",0.000700977645181841,"Syn","Tvs"
"82",0.00209330221633467,"Syn","Tvs"
"83",0.00116648517834718,"Syn","Tvs"
"84",0.000747421329730496,"Syn","Tvs"
"85",0.000959722413441879,"Syn","Tvs"
"86",0.000996533312848514,"Syn","Tvs"
"87",0.00177482439741916,"Syn","Tvs"
"88",0.00156343275295266,"Syn","Tvs"
"89",0.000659513828170538,"Syn","Tvs"
"90",0.00145243044346364,"Syn","Tvs"
"91",0.000966533776245669,"Syn","Tvs"
"92",0.000954111344868189,"Syn","Tvs"
"93",0.00105392090555595,"Syn","Tvs"
"94",0.00060009298526118,"Syn","Tvs"
"95",0.000590712460553955,"Syn","Tvs"
"96",0.000815684636525685,"Syn","Tvs"
"97",0.00196867185096152,"Syn","Tvs"
"98",0.000679795010210997,"Syn","Tvs"
"99",0.000940751370228163,"Syn","Tvs"
"100",0.000709838623733893,"Syn","Tvs"
"101",0.00224048712528143,"Syn","Tvs"
"102",0.000923977295889863,"Syn","Tvs"
"103",0.00141942442219259,"Syn","Tvs"
"104",0.00159413123399303,"Syn","Tvs"
"105",0.000505152879707188,"Syn","Tvs"
"106",0.000760338275588474,"Syn","Tvs"
"107",0.000776962227568135,"Syn","Tvs"
"108",0.000929107876952437,"Syn","Tvs"
"109",0.00128543716592401,"Syn","Tvs"
"110",0.000858423111990074,"Syn","Tvs"
"111",0.00211577661764926,"Syn","Tvs"
"112",0.00112387227908433,"Syn","Tvs"
"113",0.00084358982923519,"Syn","Tvs"
"114",0.00280876798738368,"Syn","Tvs"
"115",0.00107523325357871,"Syn","Tvs"
"116",0.0020886922251588,"Syn","Tvs"
"117",0.00239106738432057,"Syn","Tvs"
"118",0.00122275046326568,"Syn","Tvs"
"119",0.00192626792951133,"Syn","Tvs"
"120",0.00478415148295027,"Syn","Tvs"
"121",0.00147387483608009,"Syn","Tvs"
"122",0.00125606918948554,"Syn","Tvs"
"123",0.000450956453685016,"Syn","Tvs"
"124",0.00126087603900462,"Syn","Tvs"
"125",0.00100317065656661,"Syn","Tvs"
"126",0.00177832752866331,"Syn","Tvs"
"127",0.00204398475119518,"Syn","Tvs"
"128",0.00303477634082226,"Syn","Tvs"
"129",0.00154439917617355,"Syn","Tvs"
"130",0.00089455609063968,"Syn","Tvs"
"131",0.00106751561951303,"Syn","Tvs"
"132",0.00225559896296544,"Syn","Tvs"
"133",0.000232702728202033,"Syn","Tvs"
"134",0.00155022609273168,"Syn","Tvs"
"135",0.00139683545445227,"Syn","Tvs"
"136",0.00129853441039887,"Syn","Tvs"
"137",0.000879571948747688,"Syn","Tvs"
"138",0.00077366244452476,"Syn","Tvs"
"139",0.00240956458180472,"Syn","Tvs"
"140",0.00146784618961517,"Syn","Tvs"
"141",0.00138198447841771,"Syn","Tvs"
"142",0.00190889750393407,"Syn","Tvs"
"143",0.00126348393440942,"Syn","Tvs"
"144",0.000731794365492012,"Syn","Tvs"
"145",0.000856958144546273,"Syn","Tvs"
"146",0.000872060871718131,"Syn","Tvs"
"147",0.00162443561983639,"Syn","Tvs"
"148",0.00127552110445697,"Syn","Tvs"
"149",0.00199742639733407,"Syn","Tvs"
"150",0.00246056502776695,"Syn","Tvs"
"151",0.00154560095006,"Syn","Tvs"
