"","pos","mean","gene","Type"
"1",342,0.00279797112518185,"Core","nonsyn"
"2",343,0.00349223185021359,"Core","nonsyn"
"3",344,0.00133741537188988,"Core","nonsyn"
"4",345,0.00494075210426758,"Core","nonsyn"
"5",346,0.00245306168409655,"Core","nonsyn"
"6",347,0.00279657851434356,"Core","syn"
"7",348,0.00381181327045749,"Core","nonsyn"
"8",349,0.00279752551242104,"Core","nonsyn"
"9",350,0.00466585451962258,"Core","syn"
"10",351,0.00388436109699802,"Core","nonsyn"
"11",352,0.00333505476191084,"Core","nonsyn"
"12",353,0.00567092174393882,"Core","syn"
"13",354,0.00158009439961237,"Core","nonsyn"
"14",355,0.00225055830793608,"Core","nonsyn"
"15",356,0.0050430367603801,"Core","syn"
"16",357,0.00282314708298466,"Core","nonsyn"
"17",358,0.00398252493804579,"Core","nonsyn"
"18",359,0.00461641121944738,"Core","syn"
"19",360,0.00136241423063223,"Core","nonsyn"
"20",361,0.00134835682123566,"Core","nonsyn"
"21",362,0.0101882376563951,"Core","syn"
"22",364,0.00350531139770717,"Core","nonsyn"
"23",365,0.00424883591021147,"Core","syn"
"24",366,0.00617012406152475,"Core","nonsyn"
"25",367,0.00162971211375739,"Core","nonsyn"
"26",368,0.00561377557574165,"Core","syn"
"27",369,0.00358315839624766,"Core","nonsyn"
"28",370,0.00604127914646983,"Core","nonsyn"
"29",371,0.00578804364728735,"Core","syn"
"30",372,0.00532792742002366,"Core","nonsyn"
"31",373,0.00153877780830459,"Core","nonsyn"
"32",374,0.00386382255554736,"Core","syn"
"33",375,0.0033607958622782,"Core","nonsyn"
"34",376,0.00512558794976889,"Core","nonsyn"
"35",377,0.00745609137475357,"Core","syn"
"36",378,0.00321006532332112,"Core","nonsyn"
"37",379,0.00326048892368562,"Core","nonsyn"
"38",380,0.00604731079306853,"Core","syn"
"39",381,0.00323797925153647,"Core","nonsyn"
"40",382,0.00519133591720292,"Core","nonsyn"
"41",383,0.00222420979807423,"Core","syn"
"42",384,0.00592083732971112,"Core","nonsyn"
"43",385,0.00561750301435596,"Core","nonsyn"
"44",386,0.00323159852240933,"Core","syn"
"45",387,0.00337870116353221,"Core","nonsyn"
"46",388,0.00590560245351495,"Core","nonsyn"
"47",389,0.00189066440406245,"Core","syn"
"48",390,0.00319333234200176,"Core","nonsyn"
"49",391,0.00243263294530793,"Core","nonsyn"
"50",392,0.0104247910755496,"Core","syn"
"51",393,0.00180051151742641,"Core","nonsyn"
"52",394,0.00291017883747202,"Core","nonsyn"
"53",395,0.0018696285765662,"Core","syn"
"54",396,0.00189098928077986,"Core","nonsyn"
"55",397,0.00170053086203173,"Core","nonsyn"
"56",398,0.00327587338295092,"Core","syn"
"57",400,0.00407767654079319,"Core","nonsyn"
"58",401,0.00164588866155848,"Core","syn"
"59",402,0.00143245276613267,"Core","nonsyn"
"60",403,0.00532734207792562,"Core","nonsyn"
"61",404,0.00273514846895175,"Core","syn"
"62",405,0.00259603046107265,"Core","nonsyn"
"63",406,0.00641810579491022,"Core","nonsyn"
"64",407,0.0153757175359552,"Core","syn"
"65",408,0.00451824057588765,"Core","nonsyn"
"66",409,0.00554332280779801,"Core","nonsyn"
"67",410,0.0020590417653308,"Core","syn"
"68",411,0.00310001645609819,"Core","nonsyn"
"69",412,0.00445579180731521,"Core","nonsyn"
"70",413,0.00499237998842134,"Core","syn"
"71",414,0.00156154280221147,"Core","nonsyn"
"72",415,0.00250757906780655,"Core","nonsyn"
"73",416,0.00289392993940361,"Core","syn"
"74",417,0.00165880540414971,"Core","nonsyn"
"75",418,0.00144751544965934,"Core","nonsyn"
"76",419,0.00688863000785346,"Core","syn"
"77",420,0.00160675118020349,"Core","nonsyn"
"78",421,0.00169525641372178,"Core","nonsyn"
"79",422,0.00851366158820678,"Core","syn"
"80",423,0.00351702350023832,"Core","nonsyn"
"81",424,0.00157678583270899,"Core","nonsyn"
"82",425,0.00902460344895952,"Core","syn"
"83",427,0.00418967532907809,"Core","nonsyn"
"84",428,0.00147838897776542,"Core","syn"
"85",429,0.00494952250959865,"Core","nonsyn"
"86",430,0.00295693668572747,"Core","nonsyn"
"87",431,0.00236184413618814,"Core","syn"
"88",432,0.00173915332078157,"Core","nonsyn"
"89",433,0.00276856215965807,"Core","nonsyn"
"90",434,0.00764050661794552,"Core","syn"
"91",435,0.00155353217818293,"Core","nonsyn"
"92",436,0.00176573215295881,"Core","nonsyn"
"93",437,0.00466134789699874,"Core","syn"
"94",438,0.00156911671472026,"Core","nonsyn"
"95",439,0.00124274482880295,"Core","nonsyn"
"96",440,0.00530173890443421,"Core","syn"
"97",441,0.00115862477931365,"Core","nonsyn"
"98",442,0.00410983478899404,"Core","nonsyn"
"99",443,0.00519425221556555,"Core","syn"
"100",444,0.00204928938531094,"Core","nonsyn"
"101",445,0.00259576085071631,"Core","nonsyn"
"102",446,0.00244187392209406,"Core","syn"
"103",447,0.00600490169452458,"Core","syn"
"104",448,0.00647049786219582,"Core","nonsyn"
"105",449,0.00151366918065003,"Core","syn"
"106",450,0.00570516466863594,"Core","syn"
"107",451,0.00398515316677622,"Core","nonsyn"
"108",452,0.00597247849233172,"Core","syn"
"109",453,0.00306143078926156,"Core","nonsyn"
"110",454,0.00268577489946509,"Core","nonsyn"
"111",455,0.00337366683918708,"Core","syn"
"112",456,0.00213176970555147,"Core","nonsyn"
"113",457,0.00221054403221453,"Core","nonsyn"
"114",458,0.00187956843350005,"Core","syn"
"115",459,0.00340352324409963,"Core","nonsyn"
"116",460,0.00122936488281049,"Core","nonsyn"
"117",461,0.00181830551755304,"Core","syn"
"118",462,0.00232303947954791,"Core","nonsyn"
"119",463,0.00192482076443621,"Core","nonsyn"
"120",464,0.00195202437558033,"Core","syn"
"121",465,0.00234345353828283,"Core","nonsyn"
"122",466,0.00186095078733015,"Core","nonsyn"
"123",467,0.00588256981080009,"Core","syn"
"124",468,0.00291517851266361,"Core","nonsyn"
"125",469,0.001136154710637,"Core","nonsyn"
"126",470,0.00693675325286871,"Core","syn"
"127",471,0.00403593697021534,"Core","syn"
"128",472,0.00222959182533343,"Core","nonsyn"
"129",473,0.00164786198319852,"Core","syn"
"130",474,0.00268414256322975,"Core","nonsyn"
"131",475,0.00245966237059871,"Core","nonsyn"
"132",476,0.00418556305124372,"Core","syn"
"133",477,0.00205543950665154,"Core","nonsyn"
"134",478,0.00350078407901277,"Core","nonsyn"
"135",479,0.00206307260360378,"Core","syn"
"136",480,0.00308749720135313,"Core","nonsyn"
