"","gene1","gene2","test","P.value"
"1","Core","E1","less",0.999918306685056
"2","Core","HVR1","less",0.999999844088615
"3","Core","E2","less",0.999994381803031
"4","Core","NS1","less",0.999998545213862
"5","Core","NS2","less",0.999999965627199
"6","Core","NS3","less",0.967319081844333
"7","Core","NS4A","less",0.947216451978532
"8","Core","NS4B","less",0.976664180420249
"9","Core","NS5A","less",0.994543095787882
"10","Core","NS5B","less",0.0388988205609792
"11","E1","HVR1","less",0.999837222267528
"12","E1","E2","less",0.624955984420867
"13","E1","NS1","less",0.965473692689936
"14","E1","NS2","less",0.928517763938639
"15","E1","NS3","less",0.00645153868563792
"16","E1","NS4A","less",0.18489905965402
"17","E1","NS4B","less",0.0320265212850009
"18","E1","NS5A","less",0.0339462433307255
"19","E1","NS5B","less",5.06914249432104e-09
"20","HVR1","E2","less",0.000268567568173465
"21","HVR1","NS1","less",0.00593384456177509
"22","HVR1","NS2","less",0.00089516578550672
"23","HVR1","NS3","less",9.24099720738133e-06
"24","HVR1","NS4A","less",0.000157295853298199
"25","HVR1","NS4B","less",1.48580346635533e-05
"26","HVR1","NS5A","less",9.90196990268411e-06
"27","HVR1","NS5B","less",1.53226531562559e-08
"28","E2","NS1","less",0.942912082073258
"29","E2","NS2","less",0.881047428334921
"30","E2","NS3","less",0.000584296841501404
"31","E2","NS4A","less",0.115530963269134
"32","E2","NS4B","less",0.00762828286055846
"33","E2","NS5A","less",0.00581097943078121
"34","E2","NS5B","less",9.66156030901206e-12
"35","NS1","NS2","less",0.204845288775641
"36","NS1","NS3","less",0.000358773685214494
"37","NS1","NS4A","less",0.017154714348013
"38","NS1","NS4B","less",0.00103925028384354
"39","NS1","NS5A","less",0.000941780940704104
"40","NS1","NS5B","less",4.42674061617681e-09
"41","NS2","NS3","less",2.16037665269552e-05
"42","NS2","NS4A","less",0.0384367424339533
"43","NS2","NS4B","less",0.000462066700232731
"44","NS2","NS5A","less",0.00026400289450397
"45","NS2","NS5B","less",1.05838429808386e-13
"46","NS3","NS4A","less",0.640824968252408
"47","NS3","NS4B","less",0.625486080381145
"48","NS3","NS5A","less",0.778258556900507
"49","NS3","NS5B","less",2.11415296136713e-05
"50","NS4A","NS4B","less",0.399953811513233
"51","NS4A","NS5A","less",0.474944145058942
"52","NS4A","NS5B","less",0.00786898151201166
"53","NS4B","NS5A","less",0.625347704630487
"54","NS4B","NS5B","less",8.02849787663033e-05
"55","NS5A","NS5B","less",7.96674935687455e-07
"56","Core","E1","greater",8.17523807643726e-05
"57","Core","HVR1","greater",1.5651029916585e-07
"58","Core","E2","greater",5.62123231173817e-06
"59","Core","NS1","greater",1.45754088844196e-06
"60","Core","NS2","greater",3.44047779633161e-08
"61","Core","NS3","greater",0.0326859434996437
"62","Core","NS4A","greater",0.0528299927196829
"63","Core","NS4B","greater",0.023343849601291
"64","Core","NS5A","greater",0.00545837529541013
"65","Core","NS5B","greater",0.961111365517449
"66","E1","HVR1","greater",0.000163235201599648
"67","E1","E2","greater",0.375088860300566
"68","E1","NS1","greater",0.0345562478871788
"69","E1","NS2","greater",0.0715052009731683
"70","E1","NS3","greater",0.993549716894618
"71","E1","NS4A","greater",0.815217061792494
"72","E1","NS4B","greater",0.967984011006786
"73","E1","NS5A","greater",0.966060896652273
"74","E1","NS5B","greater",0.999999994934495
"75","HVR1","E2","greater",0.999731862620604
"76","HVR1","NS1","greater",0.994100465588111
"77","HVR1","NS2","greater",0.999106848761133
"78","HVR1","NS3","greater",0.999990768695167
"79","HVR1","NS4A","greater",0.99984413206502
"80","HVR1","NS4B","greater",0.999985178430669
"81","HVR1","NS5A","greater",0.999990112794623
"82","HVR1","NS5B","greater",0.99999998471639
"83","E2","NS1","greater",0.0571153032563983
"84","E2","NS2","greater",0.118974482592217
"85","E2","NS3","greater",0.999415802938114
"86","E2","NS4A","greater",0.884520382782672
"87","E2","NS4B","greater",0.992373760356257
"88","E2","NS5A","greater",0.994190096156067
"89","E2","NS5B","greater",0.999999999990344
"90","NS1","NS2","greater",0.79525634106982
"91","NS1","NS3","greater",0.999641399279206
"92","NS1","NS4A","greater",0.982892494732158
"93","NS1","NS4B","greater",0.998961814249351
"94","NS1","NS5A","greater",0.999058813606921
"95","NS1","NS5B","greater",0.999999995579727
"96","NS2","NS3","greater",0.99997840228478
"97","NS2","NS4A","greater",0.961596373853547
"98","NS2","NS4B","greater",0.999538158282524
"99","NS2","NS5A","greater",0.999736084075328
"100","NS2","NS5B","greater",0.999999999999894
"101","NS3","NS4A","greater",0.359229364859262
"102","NS3","NS4B","greater",0.374535917657095
"103","NS3","NS5A","greater",0.221753477950549
"104","NS3","NS5B","greater",0.99997886301536
"105","NS4A","NS4B","greater",0.600176745537974
"106","NS4A","NS5A","greater",0.52513762854398
"107","NS4A","NS5B","greater",0.992136909603044
"108","NS4B","NS5A","greater",0.374682081539083
"109","NS4B","NS5B","greater",0.999919747219079
"110","NS5A","NS5B","greater",0.999999203590708
