"","pos","numberofZero","Median","Mean","Max","RealMedian","RealMean","RealMax","numberofSample","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY","Significance","Significance_holm"
"1",342,2,0.00259235255994815,0.00308460833296233,0.0130890052356021,0.00265930244451263,0.00279797112518185,0.00855920114122682,171,0.797985680445726,1,0.843214086919215,1,1,1,1,"N","N"
"2",343,4,0.00290350128095645,0.00346858526776874,0.0137870343209152,0.00312402374258044,0.00349223185021359,0.0240589833139309,171,0.146943738932367,1,0.222371877269845,1,1,1,1,"N","N"
"3",344,43,0.000809716599190283,0.00151231833663412,0.00835273175407367,0.00122349102773246,0.00133741537188988,0.00446162998215348,171,0.0331521709410021,1,0.0673281838125456,1,1,1,0.643595887486364,"N","N"
"4",345,3,0.00401511572980633,0.0046542658507721,0.0150356106568188,0.00466079751424133,0.00494075210426758,0.0134706814580032,171,0.0128696277160779,1,0.0317404927458056,1,1,1,0.303410094275925,"N","N"
"5",346,28,0.00117041198501873,0.00247547352820767,0.0247400501972033,0.00223713646532438,0.00245306168409655,0.0180632212744606,171,2.72707849116025e-05,0.216993635541621,0.000263206327343751,0.194549779559372,0.194549779559372,0.140117292875814,0.00251601187268716,"N","N"
"6",347,13,0.00226017076845806,0.00307051117257552,0.0215469613259669,0.00255220417633411,0.00279657851434356,0.00798403193612774,171,0.0597651058200836,1,0.107178487043138,1,1,1,1,"N","N"
"7",348,2,0.00327153762268266,0.00389873312003009,0.0155709342560554,0.00336247478143914,0.00381181327045749,0.0455793520043932,169,0.802210119173475,1,0.846415643271059,1,1,1,1,"N","N"
"8",349,21,0.00208451771840061,0.00299423755048996,0.0276243093922652,0.00265895049659811,0.00279752551242104,0.0126582278481013,171,0.00193353729596551,1,0.00699643304410986,1,1,1,0.0668795039355237,"N","N"
"9",350,21,0.00257714007104548,0.00529770373467878,0.0398153491055972,0.0025792836625828,0.00466585451962258,0.169766959408063,169,0.530756806516842,1,0.614824852155264,1,1,1,1,"N","N"
"10",351,1,0.00300364728599013,0.00379873242752528,0.0127025843188787,0.0036606092299647,0.00388436109699802,0.0260776192667587,171,0.056297847473244,1,0.102297778566934,1,1,1,0.977873244999091,"N","N"
"11",352,3,0.00321549318588859,0.00360631087714504,0.0126666666666667,0.00312656530807931,0.00333505476191084,0.0148446612236242,172,0.920968191843753,1,0.938657511857806,1,1,1,1,"N","N"
"12",353,2,0.00482858522452921,0.00556047707414554,0.024135446685879,0.00474293302978562,0.00567092174393882,0.0225016545334216,175,0.301945278291086,1,0.394447312323456,1,1,1,1,"N","N"
"13",354,31,0.00100831862868667,0.0016555068007263,0.00771438823107284,0.00103199174406605,0.00158009439961237,0.0440944881889764,175,0.757420702571295,1,0.811689768398625,1,1,1,1,"N","N"
"14",355,21,0.0013091861226271,0.00219871715283753,0.0181268882175227,0.00149925037481259,0.00225055830793608,0.0412698412698413,175,0.211970296915074,1,0.298152316166385,1,1,1,1,"N","N"
"15",356,2,0.00469345849222646,0.00529057568727823,0.0160566706021251,0.00409521371896596,0.0050430367603801,0.0342494714587738,175,0.45826096463341,1,0.551646368470203,1,1,1,1,"N","N"
"16",357,5,0.00229841027560119,0.00278506879508532,0.00991735537190083,0.0026773165687341,0.00282314708298466,0.0118830857690465,176,0.0488392483270902,1,0.0914390878342694,1,1,1,0.874074088341508,"N","N"
"17",358,2,0.00307429547395389,0.00383109562209569,0.017175572519084,0.00367013467798557,0.00398252493804579,0.0306122448979592,175,0.00897768794469291,1,0.0239296140466332,1,1,1,0.228745234424091,"N","N"
"18",359,1,0.00400292698349104,0.00467181730729786,0.0153671030165054,0.00421526446934796,0.00461641121944738,0.0157273918741809,176,0.290503988465998,1,0.382515346057248,1,1,1,1,"N","N"
"19",360,26,0.000962398164396655,0.00135986084258745,0.0094944220270591,0.00120853859306263,0.00136241423063223,0.00721761097076868,176,0.0199629708427695,1,0.0448462334827546,1,1,1,0.428688994776894,"N","N"
"20",361,37,0.000734085079901966,0.00117267650911484,0.0110913323291798,0.00111909858963021,0.00134835682123566,0.00540123456790123,176,0.000634116834256824,1,0.00297153571859926,1,1,1,0.0284051649652989,"N","N"
